Group,Task Number,Latency (Edge),Data Transmission Latency (Edge),Throughput (Edge)
10,Task 9,0.009645886421203613,3.90625,198924.18462231627
10,Task 10,0.006411457061767578,3.90625,325331.9468557318
10,Task 11,0.006512079238891601,1.953125,166516.779591362
10,Task 12,0.004929118156433106,1.953125,266125.3548571624
10,Task 13,0.0053072357177734375,0.9765625,132699.05368015743
10,Task 14,0.00434380054473877,0.9765625,199642.60661321753
10,Task 15,0.004301934242248535,0.48828125,98278.90240919922
10,Task 16,0.0033624267578125,0.48828125,129840.66920057927
10,Task 17,0.0035815525054931643,0.29296875,72354.05028535285
10,Task 18,0.0031068086624145507,0.29296875,88401.84903634732
10,Task 19,0.004025368690490722,0.1953125,59508.115555526
10,Task 20,0.003692784309387207,0.1953125,76135.48738428026
10,Task 21,0.001314268112182617,0.000762939453,279.20852715861673
10,Task 22,0.0016904926300048827,0.0457763672,19312.422012293857
10,Task 23,0.0015219640731811523,0.0915527344,29810.93391109253
10,Task 24,0.0017084980010986328,0.183105469,64991.61063642691
10,Task 25,0.00022404670715332032,0.000762939453,760.8797556073173
11,Task 1,0.0018463373184204102,6.7024231,4758068.805929676
11,Task 2,0.05591956615447998,61.1328125,43934019.58147269
11,Task 3,0.04640439987182617,30.5664062,25087725.4298221
11,Task 4,0.026616849899291993,30.5664062,22215720.09878319
11,Task 5,0.025768423080444337,15.3320312,83152865.04745181
11,Task 6,0.015574822425842285,15.3320312,359373.3174625142
11,Task 7,0.015318355560302734,7.71484375,217910.3711701995
11,Task 8,0.00938868522644043,7.71484375,379909.720280948
11,Task 9,0.00923013210296631,3.90625,198692.79482164237
11,Task 10,0.006133732795715332,3.90625,328735.69020631135
11,Task 11,0.006316723823547363,1.953125,167119.76621264737
11,Task 12,0.0045598697662353515,1.953125,272668.6365829503
11,Task 13,0.005347418785095215,0.9765625,138676.23840276818
11,Task 14,0.004360933303833008,0.9765625,208682.0607663466
11,Task 15,0.004440078735351563,0.48828125,101318.34442630215
11,Task 16,0.003311152458190918,0.48828125,140354.88573358682
11,Task 17,0.0036667251586914064,0.29296875,71810.347278264
11,Task 18,0.003134398460388184,0.29296875,88054.54549430651
11,Task 19,0.004002537727355957,0.1953125,57656.63522174682
11,Task 20,0.003582453727722168,0.1953125,77314.4707869683
11,Task 21,0.0013409662246704102,0.000762939453,272.7229221502065
11,Task 22,0.0018238258361816407,0.0457763672,19142.42900456543
11,Task 23,0.0015969562530517578,0.0915527344,29980.979112287092
11,Task 24,0.0018034076690673828,0.183105469,66993.18909349856
11,Task 25,0.00024167537689208984,0.000762939453,745.7309375900093
12,Task 1,0.0017905235290527344,6.7024231,4906386.23701731
12,Task 2,0.055401058197021485,61.1328125,53066735.970239274
12,Task 3,0.046085634231567384,30.5664062,27334607.901046596
12,Task 4,0.026473374366760255,30.5664062,24631365.663376436
12,Task 5,0.025534491539001464,15.3320312,94422114.5135995
12,Task 6,0.015326104164123534,15.3320312,362736.75366512075
12,Task 7,0.015045418739318847,7.71484375,219417.616109828
12,Task 8,0.009226388931274414,7.71484375,381968.68521213304
12,Task 9,0.009224729537963867,3.90625,200513.09783003494
12,Task 10,0.006274361610412598,3.90625,334070.54690292856
12,Task 11,0.006567592620849609,1.953125,170151.46233915316
12,Task 12,0.004647793769836425,1.953125,277464.99947801296
12,Task 13,0.00515571117401123,0.9765625,138757.4556773974
12,Task 14,0.0042240190505981445,0.9765625,204004.8182552596
12,Task 15,0.004255590438842774,0.48828125,97448.18793544584
12,Task 16,0.0033433151245117186,0.48828125,137699.74135976436
