Group,Task Number,Latency (Server),Throughput (Server)
20,Task 12,0.0008601284027099609,2370280.537392771
20,Task 13,0.0009398937225341796,1031987.6054821905
20,Task 14,0.0008199596405029297,1454855.8668906835
20,Task 15,0.0007798671722412109,680876.2358909321
20,Task 16,0.0006598377227783203,744074.9520462131
20,Task 17,0.0008803033828735352,408556.8301963371
20,Task 18,0.0008402299880981445,468315.73291152494
20,Task 19,0.0008400440216064453,328261.02843167225
20,Task 20,0.0006798362731933594,387974.18086690083
20,Task 21,0.000379786491394043,1135.9720063050813
20,Task 22,0.0005201673507690429,71409.0199706031
20,Task 23,0.0004999685287475586,142849.65658171085
20,Task 24,0.0005198383331298828,353026.1762477906
20,Task 25,6.003856658935547e-05,2633.0583700578804
21,Task 1,9.922981262207031e-05,88531861.22056703
21,Task 2,0.004201111793518067,210791148.22815138
21,Task 3,0.002670254707336426,71553526.7605154
21,Task 4,0.0018402767181396485,71558402.0167781
21,Task 5,0.002019481658935547,200811772.01124504
21,Task 6,0.001759648323059082,4783495.652509485
21,Task 7,0.0016202020645141601,3786904.662022561
21,Task 8,0.0011601018905639648,5494825.8054486
21,Task 9,0.0012793445587158203,2535304.0357389096
21,Task 10,0.0010200881958007813,2909672.309464128
21,Task 11,0.0010802364349365235,1580049.8320977336
21,Task 12,0.0009800004959106445,2206702.7222544197
21,Task 13,0.000979938507080078,1000512.3258466332
21,Task 14,0.0006597375869750976,1254793.4632212706
21,Task 15,0.0008202314376831055,592462.8898835536
21,Task 16,0.0008601570129394532,653060.8940205624
21,Task 17,0.0008999538421630859,391861.32316016895
21,Task 18,0.0006798267364501953,582049.6021162645
21,Task 19,0.0008200120925903321,312107.0325262332
21,Task 20,0.0008599567413330078,297620.0811583919
21,Task 21,0.00034005165100097656,1111.168099017665
21,Task 22,0.00038012981414794924,88257.78214210563
21,Task 23,0.0005599164962768555,146339.3053399159
21,Task 24,0.0005598783493041993,279083.8055737305
21,Task 25,0.00010007381439208985,2940.7297304877025
22,Task 1,0.00019991397857666016,43943900.584376864
22,Task 2,0.003941130638122558,125203477.62230466
22,Task 3,0.0024201488494873047,83517522.24409057
22,Task 4,0.0017799949645996094,77007247.68163364
22,Task 5,0.0018994569778442382,501718649.9047619
22,Task 6,0.001319718360900879,5099044.37209246
22,Task 7,0.00165985107421875,4178255.4003412523
22,Task 8,0.0010399293899536132,5680914.9470119905
22,Task 9,0.0011399078369140625,2695507.2211274146
22,Task 10,0.0008600091934204101,3879615.6450418225
22,Task 11,0.0010198450088500976,1542307.0417356133
22,Task 12,0.0007199764251708985,2461705.5972561664
22,Task 13,0.0009001588821411133,1122897.7980054882
22,Task 14,0.0006802177429199219,1488356.1824603425
22,Task 15,0.0009200096130371094,627546.337380831
22,Task 16,0.0006599664688110351,888917.9945691767
22,Task 17,0.0008699655532836914,426591.3580573905
22,Task 18,0.0008001422882080078,564525.1156660966
22,Task 19,0.0007598638534545898,278257.96206074423
22,Task 20,0.0007401227951049805,387898.4949965681
22,Task 21,0.00039992332458496096,1149.470799419003
22,Task 22,0.0006399822235107422,74986.66285264776
22,Task 23,0.0004797077178955078,157923.02720341377
22,Task 24,0.0005202627182006836,324270.51509196917
22,Task 25,4.00543212890625e-05,2500.4793132228447
23,Task 1,0.00040001869201660155,21961473.73942067
23,Task 2,0.0038811731338500976,160240107.0450471
23,Task 3,0.0022423648834228515,83461937.36701466
